id;reference;nom;prix;created_date;start_date;end_date
1;conglomeration Table driver;Assimilated compress Cambridgeshire;87545;2022-01-02;2022-01-01;2022-01-02
2;Missouri;Division;45322;2022-01-02;2022-01-02;2022-01-02
3;Loan Internal;Idaho;5187;2022-01-02;2022-01-02;2022-01-02
4;calculate China;Sausages Table;79258;2022-01-02;2022-01-02;2022-01-02
5;Hat parse deposit;initiatives transitional;60225;2022-01-02;2022-01-02;2022-01-02
6;Pennsylvania SMTP array;override Chair;74623;2022-01-02;2022-01-02;2022-01-02
7;Valley;salmon synergize Savings;18318;2022-01-02;2022-01-02;2022-01-02
8;web-readiness;Buckinghamshire FTP Avon;15680;2022-01-02;2022-01-02;2022-01-02
9;Chair architecture Connecticut;Bedfordshire;27024;2022-01-02;2022-01-02;2022-01-02
10;synergistic;Music connect;50030;2022-01-02;2022-01-02;2022-01-01
